country,mean_mae,std_mae,best_params
South Asia,1.702670175593806,0.5678598404022308,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Southeast Asia,2.1459088832678943,0.8581858297877526,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Sub-Saharan Africa (Region) ,1.483403333296401,0.38947476838843087,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Western Europe,1.432706402038791,0.5591772826484313,"{'initialization_method': 'estimated', 'smoothing_level': 0.6}"
Western Hemisphere (Region),1.3537919282697102,0.4463581424817315,"{'initialization_method': 'estimated', 'smoothing_level': 0.6}"
ASEAN-5,2.2457551522933024,0.9986695132955583,"{'initialization_method': 'estimated', 'smoothing_level': 1.0}"
Advanced economies,1.2153589637396165,0.4650814035443806,"{'initialization_method': 'estimated', 'smoothing_level': 0.6}"
Emerging and Developing Asia,1.6828421519829164,0.5915366138641075,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Emerging and Developing Europe,3.2895874744167015,1.9735585303103718,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Emerging market and developing economies,1.4112209544355785,0.7039606747718695,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Euro area,1.5220135687195329,0.504746810870111,"{'initialization_method': 'estimated', 'smoothing_level': 0.6}"
European Union,1.4307188239617965,0.5576450875492576,"{'initialization_method': 'estimated', 'smoothing_level': 0.5}"
Latin America and the Caribbean,2.1420158873980704,0.5384624804664778,"{'initialization_method': 'estimated', 'smoothing_level': 0.8}"
Major advanced economies (G7),1.1890974818392919,0.4751668499685214,"{'initialization_method': 'estimated', 'smoothing_level': 0.6}"
Middle East and Central Asia,1.9899059250446598,1.0267263336970303,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Other advanced economies,1.5505782093653078,0.43494795800481373,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Sub-Saharan Africa,1.5338896793348393,0.363721506958801,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
World,1.0539666179746692,0.5532964152214106,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
